"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","360.75","349.75","363.00","345.75","0.39K","3.37%"
"Dec 30, 2020","349.00","338.50","349.75","338.25","0.38K","2.95%"
"Dec 29, 2020","339.00","337.00","340.00","336.50","0.22K","0.67%"
"Dec 28, 2020","336.75","336.50","339.25","335.25","0.20K","0.37%"
"Dec 24, 2020","335.50","335.75","337.50","335.00","0.10K","-0.22%"
"Dec 23, 2020","336.25","335.25","338.00","331.50","0.25K","-0.15%"
"Dec 22, 2020","336.75","337.50","338.50","335.00","0.14K","-0.30%"
"Dec 21, 2020","337.75","337.75","339.00","335.00","0.25K","0.00%"
"Dec 18, 2020","337.75","335.50","341.00","334.50","0.28K","0.30%"
"Dec 17, 2020","336.75","334.25","338.00","333.50","0.33K","0.22%"
"Dec 16, 2020","336.00","334.25","338.75","333.75","0.21K","0.60%"
"Dec 15, 2020","334.00","335.75","336.75","329.50","0.42K","-3.12%"
"Dec 14, 2020","344.75","337.10","342.50","336.40","-","0.00%"
"Dec 11, 2020","344.75","330.70","338.40","330.00","-","1.70%"
"Dec 10, 2020","339.00","325.70","334.70","324.60","-","1.35%"
"Dec 09, 2020","334.50","322.10","328.50","320.10","-","1.29%"
"Dec 08, 2020","330.25","348.75","349.00","348.75","0.00K","1.62%"
"Dec 07, 2020","325.00","306.10","319.20","304.40","-","3.75%"
"Dec 04, 2020","313.25","311.00","311.00","311.00","0.00K","3.13%"
"Dec 03, 2020","303.75","303.00","303.00","303.00","0.00K","3.14%"
"Dec 02, 2020","294.50","288.00","324.25","288.00","0.11K","1.64%"
"Dec 01, 2020","289.75","283.25","292.00","283.00","0.10K","1.76%"
"Nov 30, 2020","284.75","297.25","297.25","284.00","0.06K","-1.30%"
"Nov 27, 2020","288.50","287.25","287.25","283.00","0.59K","0.96%"
"Nov 25, 2020","285.75","288.00","289.00","283.00","0.36K","-0.61%"
"Nov 24, 2020","287.50","287.50","289.00","283.00","0.47K","0.09%"
"Nov 23, 2020","287.25","298.00","298.75","287.00","0.39K","-3.53%"
"Nov 20, 2020","297.75","297.50","299.50","295.00","0.71K","0.17%"
"Nov 19, 2020","297.25","298.50","299.75","295.25","0.27K","-0.08%"
"Nov 18, 2020","297.50","296.25","298.75","294.00","0.51K","0.42%"
"Nov 17, 2020","296.25","297.25","302.25","295.50","0.70K","0.00%"
"Nov 16, 2020","296.25","296.25","299.25","294.50","0.46K","0.25%"
"Nov 13, 2020","295.50","299.75","299.75","293.25","0.71K","-1.50%"
"Nov 12, 2020","300.00","303.50","304.75","298.00","0.50K","-1.23%"
"Nov 11, 2020","303.75","307.25","308.75","303.25","0.13K","-1.14%"
"Nov 10, 2020","307.25","302.25","310.00","300.00","0.62K","1.32%"
"Nov 09, 2020","303.25","299.50","304.50","299.50","0.09K","0.92%"
"Nov 06, 2020","300.50","301.50","305.00","296.75","0.24K","-0.50%"
"Nov 05, 2020","302.00","297.50","307.75","297.00","0.40K","1.77%"
"Nov 04, 2020","296.75","296.25","300.00","293.00","0.24K","0.25%"
"Nov 03, 2020","296.00","293.75","296.00","291.50","0.34K","1.20%"
"Nov 02, 2020","292.50","297.50","299.50","292.00","0.61K","-1.60%"
"Oct 30, 2020","297.25","300.25","301.50","296.50","0.32K","-0.67%"
"Oct 29, 2020","299.25","296.50","302.50","294.25","0.41K","1.10%"
"Oct 28, 2020","296.00","307.00","308.25","291.00","0.61K","-3.90%"
"Oct 27, 2020","308.00","304.75","309.75","304.25","0.38K","0.49%"
"Oct 26, 2020","306.50","304.50","307.75","300.75","0.44K","0.99%"
"Oct 23, 2020","303.50","303.00","305.00","300.00","0.19K","0.00%"
"Oct 22, 2020","303.50","302.50","304.00","297.50","0.35K","-0.16%"
"Oct 21, 2020","304.00","299.50","305.00","299.00","0.42K","1.33%"
"Oct 20, 2020","300.00","296.75","300.00","296.25","0.31K","0.84%"
"Oct 19, 2020","297.50","294.00","298.00","294.00","0.27K","1.02%"
"Oct 16, 2020","294.50","293.75","297.00","291.25","0.33K","0.26%"
"Oct 15, 2020","293.75","287.00","295.50","285.25","0.41K","2.09%"
"Oct 14, 2020","287.75","285.50","288.25","283.25","0.16K","1.23%"
"Oct 13, 2020","284.25","285.00","287.50","282.75","0.22K","0.26%"
"Oct 12, 2020","283.50","294.75","294.75","280.50","0.52K","-2.99%"
"Oct 09, 2020","292.25","292.50","295.25","290.25","0.29K","-0.17%"
"Oct 08, 2020","292.75","295.75","296.00","289.00","0.33K","-0.43%"
"Oct 07, 2020","294.00","290.75","297.50","288.75","0.44K","1.12%"
"Oct 06, 2020","290.75","286.75","295.00","286.25","0.56K","1.04%"
"Oct 05, 2020","287.75","285.25","290.00","284.00","0.30K","0.70%"
"Oct 02, 2020","285.75","284.75","286.25","280.50","0.18K","0.62%"
"Oct 01, 2020","284.00","286.00","286.25","283.00","0.34K","-0.61%"
"Sep 30, 2020","285.75","277.50","286.50","277.25","0.41K","2.97%"
"Sep 29, 2020","277.50","273.50","279.00","273.50","0.28K","0.91%"
"Sep 28, 2020","275.00","282.50","285.75","270.00","0.90K","-2.57%"
"Sep 25, 2020","282.25","286.50","289.00","282.00","0.29K","-1.22%"
"Sep 24, 2020","285.75","286.50","287.75","283.50","0.35K","-0.70%"
"Sep 23, 2020","287.75","289.00","289.50","282.00","0.50K","-0.52%"
"Sep 22, 2020","289.25","281.75","289.75","280.00","0.50K","1.94%"
"Sep 21, 2020","283.75","284.00","288.50","279.50","0.85K","0.18%"
"Sep 18, 2020","283.25","273.25","284.75","273.00","0.91K","3.85%"
"Sep 17, 2020","272.75","273.50","273.50","269.25","0.28K","-0.09%"
"Sep 16, 2020","273.00","267.75","273.75","267.00","0.53K","1.39%"
"Sep 15, 2020","269.25","273.50","274.00","267.50","0.26K","-0.19%"
"Sep 14, 2020","269.75","270.50","274.20","270.40","-","0.00%"
"Sep 11, 2020","269.75","291.25","291.25","291.25","0.00K","-0.64%"
"Sep 10, 2020","271.50","268.10","273.30","267.50","-","1.69%"
"Sep 09, 2020","267.00","270.20","270.20","266.30","-","-0.28%"
"Sep 08, 2020","267.75","272.20","274.40","266.40","-","-0.56%"
"Sep 04, 2020","269.25","272.60","276.40","268.80","-","-0.92%"
"Sep 03, 2020","271.75","276.20","278.50","271.30","-","-1.18%"
"Sep 02, 2020","275.00","277.70","278.80","274.10","-","-1.08%"
"Sep 01, 2020","278.00","276.00","276.00","276.00","0.00K","1.37%"
"Aug 31, 2020","274.25","269.60","276.80","269.50","-","2.52%"
"Aug 28, 2020","267.50","261.25","271.00","260.00","0.04K","-0.83%"
"Aug 27, 2020","269.75","261.00","270.50","261.00","0.05K","2.47%"
"Aug 26, 2020","263.25","271.25","271.50","261.00","0.08K","-3.31%"
"Aug 25, 2020","272.25","276.50","277.00","269.25","0.10K","-0.55%"
"Aug 24, 2020","273.75","272.25","280.50","271.50","0.07K","1.96%"
"Aug 21, 2020","268.50","270.00","274.00","264.00","0.14K","-1.20%"
"Aug 20, 2020","271.75","267.50","272.75","267.50","0.03K","1.49%"
"Aug 19, 2020","267.75","270.25","270.25","267.50","0.03K","-1.74%"
"Aug 18, 2020","272.50","275.50","278.25","267.00","0.13K","-0.37%"
"Aug 17, 2020","273.50","266.75","276.00","265.25","0.03K","3.50%"
"Aug 14, 2020","264.25","265.50","266.75","262.25","0.05K","-0.28%"
"Aug 13, 2020","265.00","265.25","266.25","263.50","0.04K","0.00%"
"Aug 12, 2020","265.00","264.00","264.75","260.50","0.03K","0.47%"
"Aug 11, 2020","263.75","270.00","270.00","264.00","0.07K","-2.41%"
"Aug 10, 2020","270.25","272.50","276.00","269.50","0.06K","-1.46%"
