"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","1,310.25","1,297.25","1,320.60","1,295.62","-","1.02%"
"Dec 30, 2020","1,297.00","1,294.88","1,305.90","1,280.25","-","-0.17%"
"Dec 29, 2020","1,299.25","1,255.12","1,299.38","1,246.38","-","3.63%"
"Dec 28, 2020","1,253.75","1,274.88","1,280.10","1,246.88","-","-0.84%"
"Dec 27, 2020","1,264.40","1,265.25","1,265.25","1,264.40","-","0.00%"
"Dec 25, 2020","1,264.40","1,264.40","1,264.40","1,264.40","-","0.00%"
"Dec 24, 2020","1,264.40","1,260.62","1,274.88","1,260.62","-","0.25%"
"Dec 23, 2020","1,261.25","1,251.00","1,267.62","1,242.38","-","0.78%"
"Dec 22, 2020","1,251.50","1,248.75","1,256.38","1,240.88","-","0.34%"
"Dec 21, 2020","1,247.25","1,230.38","1,248.12","1,217.50","-","2.41%"
"Dec 18, 2020","1,217.88","1,202.25","1,224.62","1,201.75","-","1.36%"
"Dec 17, 2020","1,201.50","1,184.38","1,202.88","1,179.88","-","1.65%"
"Dec 16, 2020","1,182.00","1,187.00","1,195.00","1,181.88","-","-0.32%"
"Dec 15, 2020","1,185.75","1,170.88","1,185.88","1,162.00","-","1.37%"
"Dec 14, 2020","1,169.75","1,164.12","1,173.00","1,161.62","-","0.76%"
"Dec 11, 2020","1,160.90","1,156.62","1,162.62","1,151.10","-","0.58%"
"Dec 10, 2020","1,154.25","1,160.38","1,176.40","1,150.50","-","-0.41%"
"Dec 09, 2020","1,159.00","1,146.88","1,160.60","1,145.60","-","1.13%"
"Dec 08, 2020","1,146.00","1,157.12","1,160.38","1,142.88","-","-0.93%"
"Dec 07, 2020","1,156.75","1,158.75","1,168.90","1,149.12","-","-0.42%"
"Dec 04, 2020","1,161.62","1,168.12","1,172.38","1,157.88","-","-0.44%"
"Dec 03, 2020","1,166.75","1,154.38","1,170.62","1,152.25","-","1.19%"
"Dec 02, 2020","1,153.00","1,163.75","1,163.75","1,142.62","-","-0.88%"
"Dec 01, 2020","1,163.25","1,169.62","1,175.88","1,161.38","-","-0.47%"
"Nov 30, 2020","1,168.75","1,198.38","1,198.75","1,168.12","-","-2.08%"
"Nov 27, 2020","1,193.62","1,185.88","1,193.62","1,179.62","-","0.79%"
"Nov 25, 2020","1,184.25","1,197.38","1,198.50","1,183.38","-","-0.82%"
"Nov 24, 2020","1,194.00","1,191.62","1,194.00","1,174.12","-","0.17%"
"Nov 23, 2020","1,192.00","1,197.00","1,199.62","1,186.12","-","0.88%"
"Nov 20, 2020","1,181.62","1,185.12","1,196.62","1,176.88","-","0.31%"
"Nov 19, 2020","1,178.00","1,173.62","1,181.12","1,161.88","-","0.36%"
"Nov 18, 2020","1,173.75","1,170.38","1,189.62","1,167.88","-","0.34%"
"Nov 17, 2020","1,169.75","1,158.62","1,178.38","1,157.38","-","1.30%"
"Nov 16, 2020","1,154.75","1,149.88","1,155.12","1,144.12","-","0.55%"
"Nov 13, 2020","1,148.38","1,145.50","1,156.88","1,138.12","-","0.21%"
"Nov 12, 2020","1,146.00","1,152.38","1,154.00","1,140.12","-","-0.59%"
"Nov 11, 2020","1,152.75","1,146.88","1,162.12","1,145.12","-","0.55%"
"Nov 10, 2020","1,146.50","1,110.75","1,153.12","1,108.12","-","3.27%"
"Nov 09, 2020","1,110.25","1,102.00","1,117.62","1,099.88","-","0.65%"
"Nov 06, 2020","1,103.12","1,102.38","1,109.88","1,098.62","-","-0.06%"
"Nov 05, 2020","1,103.75","1,085.50","1,112.38","1,083.62","-","1.70%"
"Nov 04, 2020","1,085.25","1,063.00","1,087.88","1,055.88","-","2.14%"
"Nov 03, 2020","1,062.50","1,048.62","1,070.62","1,048.62","-","0.69%"
"Nov 02, 2020","1,055.25","1,053.00","1,055.25","1,041.62","-","-0.47%"
"Nov 01, 2020","1,060.25","1,060.25","1,060.25","1,060.25","-","0.32%"
"Oct 30, 2020","1,056.88","1,050.25","1,062.25","1,046.88","-","0.56%"
"Oct 29, 2020","1,051.00","1,059.88","1,062.50","1,050.88","-","-0.73%"
"Oct 28, 2020","1,058.75","1,080.62","1,081.50","1,056.88","-","-2.17%"
"Oct 27, 2020","1,082.25","1,085.88","1,093.88","1,081.75","-","-0.25%"
"Oct 26, 2020","1,085.00","1,085.62","1,089.88","1,078.12","-","-0.16%"
"Oct 23, 2020","1,086.75","1,071.62","1,088.38","1,065.88","-","1.48%"
"Oct 22, 2020","1,070.88","1,071.62","1,085.12","1,063.50","-","-0.08%"
"Oct 21, 2020","1,071.75","1,064.62","1,076.88","1,064.38","-","0.61%"
"Oct 20, 2020","1,065.25","1,056.12","1,065.75","1,051.38","-","0.92%"
"Oct 19, 2020","1,055.50","1,051.12","1,058.12","1,048.12","-","0.40%"
"Oct 18, 2020","1,051.25","1,051.25","1,051.25","1,051.25","-","0.06%"
"Oct 16, 2020","1,050.62","1,062.12","1,070.38","1,048.88","-","-1.08%"
"Oct 15, 2020","1,062.12","1,058.62","1,064.12","1,037.38","-","0.39%"
"Oct 14, 2020","1,058.00","1,043.38","1,059.62","1,039.75","-","1.49%"
"Oct 13, 2020","1,042.50","1,033.38","1,045.88","1,032.62","-","0.86%"
"Oct 12, 2020","1,033.62","1,066.38","1,073.38","1,031.62","-","-3.00%"
"Oct 11, 2020","1,065.62","1,065.62","1,065.62","1,065.62","-","0.02%"
"Oct 09, 2020","1,065.38","1,049.62","1,078.00","1,047.38","-","1.43%"
"Oct 08, 2020","1,050.38","1,051.12","1,068.75","1,048.88","-","-0.01%"
"Oct 07, 2020","1,050.50","1,040.12","1,059.38","1,037.38","-","0.88%"
"Oct 06, 2020","1,041.38","1,023.12","1,053.38","1,022.38","-","1.86%"
"Oct 05, 2020","1,022.38","1,018.25","1,025.38","1,015.88","-","0.44%"
"Oct 04, 2020","1,017.88","1,019.50","1,019.50","1,017.88","-","-0.20%"
"Oct 02, 2020","1,019.88","1,025.12","1,027.88","1,013.00","-","-0.43%"
"Oct 01, 2020","1,024.25","1,024.38","1,034.88","1,021.88","-","0.09%"
"Sep 30, 2020","1,023.38","990.88","1,034.38","987.38","-","3.23%"
"Sep 29, 2020","991.38","994.25","997.62","985.88","-","-0.30%"
"Sep 28, 2020","994.38","1,000.88","1,007.38","991.50","-","-0.70%"
"Sep 25, 2020","1,001.38","998.62","1,007.62","995.38","-","0.33%"
"Sep 24, 2020","998.12","1,012.12","1,014.62","997.38","-","-1.38%"
"Sep 23, 2020","1,012.12","1,020.62","1,025.38","1,011.12","-","-0.75%"
"Sep 22, 2020","1,019.75","1,018.62","1,036.88","1,013.38","-","0.10%"
"Sep 21, 2020","1,018.75","1,040.38","1,045.12","1,018.75","-","-2.02%"
"Sep 20, 2020","1,039.75","1,039.75","1,039.75","1,039.75","-","-0.35%"
"Sep 18, 2020","1,043.38","1,027.62","1,046.50","1,027.62","-","1.52%"
"Sep 17, 2020","1,027.75","1,011.62","1,031.88","1,005.25","-","1.59%"
"Sep 16, 2020","1,011.62","988.12","1,013.62","985.12","-","2.25%"
"Sep 15, 2020","989.38","1,002.38","1,005.62","989.38","-","-1.27%"
"Sep 14, 2020","1,002.12","996.38","1,008.62","996.25","-","0.49%"
"Sep 11, 2020","997.25","977.12","997.88","975.12","-","2.09%"
"Sep 10, 2020","976.88","979.12","981.88","974.25","-","-0.18%"
"Sep 09, 2020","978.62","972.12","981.62","968.62","-","0.67%"
"Sep 08, 2020","972.12","970.88","976.88","962.12","-","0.33%"
"Sep 04, 2020","968.88","964.75","969.62","960.62","-","0.27%"
"Sep 03, 2020","966.25","961.88","968.12","958.12","-","0.36%"
"Sep 02, 2020","962.75","952.62","962.88","946.12","-","1.04%"
"Sep 01, 2020","952.88","950.88","959.38","942.88","-","0.24%"
"Aug 31, 2020","950.62","956.12","966.88","950.62","-","-0.51%"
"Aug 30, 2020","955.50","955.50","955.50","955.50","-","0.38%"
"Aug 28, 2020","951.88","940.62","951.88","940.62","-","1.22%"
"Aug 27, 2020","940.38","924.62","948.62","923.88","-","1.70%"
"Aug 26, 2020","924.62","920.12","925.62","920.12","-","0.52%"
"Aug 25, 2020","919.88","912.38","920.88","911.12","-","0.91%"
"Aug 24, 2020","911.62","905.25","912.12","901.12","-","0.69%"
"Aug 23, 2020","905.38","905.38","905.38","905.38","-","0.19%"
"Aug 21, 2020","903.62","906.38","910.62","903.38","-","-0.30%"
"Aug 20, 2020","906.38","912.62","915.62","902.88","-","-0.75%"
"Aug 19, 2020","913.25","912.12","919.62","910.12","-","0.12%"
