Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,51.49,50.94,51.54,50.83,,0.013000000000000001,1
2021-01-07,50.83,50.53,51.28,50.39,,0.004,1
2021-01-06,50.63,49.82,50.94,49.48,509370.0,0.013999999999999999,1
2021-01-05,49.93,47.38,50.2,47.24,643190.0,0.048499999999999995,1
2021-01-04,47.62,48.4,49.83,47.18,528530.0,-0.018500000000000003,-1
2020-12-31,48.52,48.35,48.58,47.77,181890.0,0.0025,1
2020-12-30,48.4,48.13,48.66,47.61,266960.0,0.0083,1
2020-12-29,48.0,47.72,48.35,47.68,213780.0,0.008,1
2020-12-28,47.62,48.23,48.96,47.5,238460.0,-0.0126,-1
2020-12-24,48.23,48.09,48.62,47.56,167390.0,0.0023,1
2020-12-23,48.12,46.79,48.5,46.16,344310.0,0.023399999999999997,1
2020-12-22,47.02,47.93,47.96,46.6,295740.0,-0.0151,-1
2020-12-21,47.74,48.54,48.61,46.18,27960.0,-0.0277,-1
2020-12-18,49.1,48.43,49.28,48.1,83710.0,0.015300000000000001,1
2020-12-17,48.36,47.85,48.59,47.81,96540.0,0.0113,1
2020-12-16,47.82,47.6,47.94,47.17,275330.0,0.0042,1
2020-12-15,47.62,46.99,47.73,46.54,311170.0,0.0134,1
2020-12-14,46.99,46.73,47.44,45.69,403540.0,0.009000000000000001,1
2020-12-11,46.57,46.97,47.29,46.34,367310.0,-0.0045000000000000005,-1
2020-12-10,46.78,45.69,47.74,45.52,447530.0,0.0277,1
2020-12-09,45.52,45.6,46.24,44.95,434980.0,-0.0018,-1
2020-12-08,45.6,45.66,45.93,45.14,332640.0,-0.0034999999999999996,-1
2020-12-07,45.76,46.15,46.54,45.36,348870.0,-0.0108,-1
2020-12-04,46.26,45.64,46.68,45.61,335450.0,0.013600000000000001,1
2020-12-03,45.64,44.99,45.84,44.66,350770.0,0.008,1
2020-12-02,45.28,44.38,45.92,43.92,368850.0,0.016399999999999998,1
2020-12-01,44.55,45.08,45.7,44.12,314920.0,-0.0174,-1
2020-11-30,45.34,45.34,45.8,44.42,370760.0,-0.0042,-1
2020-11-27,45.53,45.9,46.09,44.55,365130.0,0.012199999999999999,1
2020-11-26,44.98,45.77,46.09,44.73,,-0.016,-1
2020-11-25,45.71,44.82,46.26,44.73,417180.0,0.0178,1
2020-11-24,44.91,42.84,45.2,42.82,418530.0,0.043,1
2020-11-23,43.06,42.46,43.36,42.29,300720.0,0.0216,1
2020-11-20,42.15,41.7,42.32,41.51,29780.0,0.0098,1
2020-11-19,41.74,41.61,41.98,41.08,88140.0,-0.0019,-1
2020-11-18,41.82,41.35,42.46,41.08,107010.0,0.009399999999999999,1
2020-11-17,41.43,41.44,41.69,40.57,243680.0,0.0022,1
2020-11-16,41.34,40.17,42.09,40.15,378790.0,0.0302,1
2020-11-13,40.13,40.94,40.94,40.06,338190.0,-0.0241,-1
2020-11-12,41.12,41.47,42.19,40.87,401030.0,-0.008,-1
2020-11-11,41.45,41.79,43.06,41.32,443770.0,0.0022,1
2020-11-10,41.36,39.91,41.84,39.41,457050.0,0.026600000000000002,1
2020-11-09,40.29,37.34,41.33,37.16,622920.0,0.0848,1
2020-11-06,37.14,38.54,38.61,37.06,411030.0,-0.0425,-1
2020-11-05,38.79,39.17,39.35,38.27,298370.0,-0.0092,-1
2020-11-04,39.15,38.15,39.25,37.26,437000.0,0.039599999999999996,1
2020-11-03,37.66,37.03,38.32,36.57,410610.0,0.0231,1
2020-11-02,36.81,35.24,37.15,33.64,489200.0,0.0285,1
2020-10-30,35.79,36.07,36.6,35.21,388970.0,-0.0105,-1
2020-10-29,36.17,37.39,37.76,34.92,568820.0,-0.0326,-1
2020-10-28,37.39,38.97,39.01,36.97,489950.0,-0.055099999999999996,-1
2020-10-27,39.57,38.59,39.83,38.51,339540.0,0.0262,1
2020-10-26,38.56,39.69,39.74,38.28,360180.0,-0.032400000000000005,-1
2020-10-23,39.85,40.61,40.92,39.57,268930.0,-0.0194,-1
2020-10-22,40.64,40.04,41.02,39.71,307490.0,0.0152,1
2020-10-21,40.03,41.22,41.59,39.78,366900.0,-0.0345,-1
2020-10-20,41.46,40.65,41.7,40.25,24520.0,0.0154,1
2020-10-19,40.83,40.69,41.22,40.54,75340.0,-0.0012,-1
2020-10-16,40.88,40.88,41.05,40.08,96490.0,-0.002,-1
2020-10-15,40.96,41.13,41.29,39.22,248250.0,-0.0019,-1
2020-10-14,41.04,40.19,41.16,39.82,328300.0,0.0209,1
2020-10-13,40.2,39.53,40.53,39.35,375470.0,0.0195,1
2020-10-12,39.43,40.4,40.45,39.04,322040.0,-0.0288,-1
2020-10-09,40.6,41.31,41.47,40.38,331700.0,-0.0143,-1
2020-10-08,41.19,39.99,41.33,39.76,409790.0,0.031,1
2020-10-07,39.95,39.83,40.35,39.28,433070.0,-0.0177,-1
2020-10-06,40.67,39.35,40.86,39.1,400530.0,0.037000000000000005,1
2020-10-05,39.22,37.0,39.72,37.0,378580.0,0.058600000000000006,1
2020-10-02,37.05,38.6,38.65,36.63,391430.0,-0.0431,-1
2020-10-01,38.72,39.9,40.47,37.61,443440.0,-0.0373,-1
2020-09-30,40.22,39.16,40.37,38.68,340290.0,0.023700000000000002,1
2020-09-29,39.29,40.58,40.7,38.41,379600.0,-0.0323,-1
2020-09-28,40.6,40.07,40.8,39.78,226430.0,0.0087,1
2020-09-25,40.25,40.15,40.64,39.71,229030.0,-0.0015,-1
2020-09-24,40.31,39.6,40.37,39.12,269990.0,0.0095,1
2020-09-23,39.93,39.76,40.75,39.26,318750.0,0.0083,1
2020-09-22,39.6,39.63,40.02,39.0,23220.0,0.0074,1
2020-09-21,39.31,40.98,41.27,38.66,66200.0,-0.0438,-1
2020-09-18,41.11,40.97,41.49,40.3,73760.0,0.0034000000000000002,1
2020-09-17,40.97,40.19,41.22,39.42,280670.0,0.0202,1
2020-09-16,40.16,38.35,40.34,38.35,367610.0,0.049100000000000005,1
2020-09-15,38.28,37.28,38.57,37.06,348860.0,0.0274,1
2020-09-14,37.26,37.32,37.68,36.82,347560.0,-0.0019,-1
2020-09-11,37.33,37.01,37.82,36.67,363790.0,0.0008,1
2020-09-10,37.3,37.8,38.18,36.93,367560.0,-0.0197,-1
2020-09-09,38.05,36.79,38.45,36.16,455360.0,0.0351,1
2020-09-08,36.76,39.48,39.59,36.13,720980.0,-0.0622,-1
2020-09-07,39.2,38.77,39.53,38.77,,0.0116,1
2020-09-06,38.75,39.47,39.48,38.57,,-0.0256,-1
2020-09-04,39.77,41.25,41.87,39.35,444180.0,-0.0387,-1
2020-09-03,41.37,41.63,41.79,40.22,417630.0,-0.0034000000000000002,-1
2020-09-02,41.51,43.02,43.21,41.23,421770.0,-0.0292,-1
2020-09-01,42.76,42.83,43.43,42.72,285150.0,0.0034999999999999996,1
2020-08-31,42.61,42.91,43.57,42.56,236880.0,-0.0084,-1
2020-08-28,42.97,42.98,43.42,42.69,272800.0,-0.0016,-1
2020-08-27,43.04,43.45,43.5,42.36,320970.0,-0.008100000000000001,-1
2020-08-26,43.39,43.39,43.78,43.0,262240.0,0.0009,1
2020-08-25,43.35,42.36,43.57,42.31,330800.0,0.0171,1
2020-08-24,42.62,42.48,42.89,42.23,294730.0,0.0066,1
2020-08-21,42.34,42.75,42.96,41.46,345370.0,-0.005600000000000001,-1
2020-08-20,42.58,42.74,42.79,41.5,27430.0,-0.008199999999999999,-1
2020-08-19,42.93,42.6,43.03,42.36,81300.0,0.0009,1
2020-08-18,42.89,42.79,42.99,42.11,111630.0,0.0,0
2020-08-17,42.89,42.24,42.97,41.8,208430.0,0.0209,1
2020-08-14,42.01,42.33,42.57,41.62,310870.0,-0.0054,-1
2020-08-13,42.24,42.57,42.84,42.09,329510.0,-0.0101,-1
2020-08-12,42.67,41.62,42.9,41.53,397830.0,0.0255,1
2020-08-11,41.61,41.98,42.94,41.48,432840.0,-0.0079,-1
2020-08-10,41.94,41.5,42.33,41.17,367800.0,0.0175,1
2020-08-07,41.22,41.97,42.22,41.06,399000.0,-0.0174,-1
2020-08-06,41.95,42.19,42.65,41.61,359610.0,-0.005699999999999999,-1
2020-08-05,42.19,41.56,43.52,41.47,491270.0,0.0118,1
2020-08-04,41.7,40.78,42.08,40.14,451580.0,0.0168,1
2020-08-03,41.01,40.39,41.24,39.58,338330.0,0.0184,1
2020-07-31,40.27,40.34,40.55,39.66,318790.0,0.0088,1
2020-07-30,39.92,41.32,41.39,38.72,487330.0,-0.0327,-1
2020-07-29,41.27,41.13,41.57,40.93,295860.0,0.005600000000000001,1
2020-07-28,41.04,41.65,41.93,40.85,276800.0,-0.013500000000000002,-1
2020-07-27,41.6,41.26,41.82,40.48,377710.0,0.0075,1
2020-07-24,41.29,41.06,41.67,40.66,353160.0,0.0054,1
2020-07-23,41.07,41.95,42.36,40.83,389410.0,-0.019799999999999998,-1
2020-07-22,41.9,41.54,42.03,41.14,333650.0,-0.0014000000000000002,-1
2020-07-21,41.96,40.65,42.4,40.64,25620.0,0.0282,1
2020-07-20,40.81,40.64,40.91,39.83,60180.0,0.0054,1
2020-07-17,40.59,40.72,40.9,40.02,88220.0,-0.0039000000000000003,-1
2020-07-16,40.75,40.97,41.18,40.52,200100.0,-0.0109,-1
2020-07-15,41.2,40.55,41.26,40.08,352540.0,0.0226,1
2020-07-14,40.29,39.6,40.57,39.07,426970.0,0.004699999999999999,1
2020-07-13,40.1,40.35,40.72,39.47,370720.0,-0.0111,-1
2020-07-10,40.55,39.58,40.77,38.54,393150.0,0.0235,1
2020-07-09,39.62,40.87,40.99,39.27,367390.0,-0.0313,-1
2020-07-08,40.9,40.48,41.08,40.3,286740.0,0.0069,1
2020-07-07,40.62,40.68,40.95,39.9,256600.00000000003,-0.0002,-1
2020-07-06,40.63,40.31,41.08,39.84,373240.0,0.0087,1
2020-07-03,40.28,40.23,40.5,39.86,,-0.0091,-1
2020-07-02,40.65,39.78,40.74,39.46,347100.0,0.0208,1
2020-07-01,39.82,39.84,40.58,39.05,407170.0,0.013999999999999999,1
2020-06-30,39.27,39.64,40.08,38.85,370060.0,-0.0108,-1
2020-06-29,39.7,37.96,39.89,37.5,343910.0,0.031400000000000004,1
2020-06-26,38.49,39.09,39.35,37.79,356710.0,-0.0059,-1
