Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-07,114.975,114.7,115.275,114.525,,-0.0002,-1
2021-01-06,115.0,114.75,115.675,114.35,21040.0,-0.0004,-1
2021-01-05,115.05,112.7,115.5,111.35,30450.0,0.0245,1
2021-01-04,112.3,115.3,115.375,111.5,32250.0,-0.0245,-1
2021-01-01,115.125,115.125,115.125,115.125,,0.019299999999999998,1
2020-12-31,112.95,112.4,113.05,112.4,70.0,0.0074,1
2020-12-30,112.125,112.425,112.5,111.55,220.0,0.0007000000000000001,1
2020-12-29,112.05,113.2,113.55,111.9,870.0,-0.0088,-1
2020-12-28,113.05,112.0,113.375,112.0,870.0,-0.0166,-1
2020-12-25,114.96,114.96,114.96,114.96,,0.025099999999999997,1
2020-12-24,112.15,111.925,112.175,111.8,280.0,0.002,1
2020-12-23,111.925,110.325,111.925,110.2,1080.0,0.014499999999999999,1
2020-12-22,110.325,110.45,110.5,110.2,880.0,-0.0025,-1
2020-12-21,110.6,109.9,110.725,109.425,1340.0,0.0011,1
2020-12-18,110.475,109.5,110.5,109.3,1750.0,0.0103,1
2020-12-17,109.35,108.125,109.45,107.85,3990.0,0.0053,1
2020-12-16,108.775,108.35,108.85,108.15,1580.0,0.0016,1
2020-12-15,108.6,108.8,109.325,108.4,1400.0,-0.0046,-1
2020-12-14,109.1,108.75,109.2,108.7,1020.0,0.0032,1
2020-12-11,108.75,107.8,109.175,107.8,3120.0,0.0076,1
2020-12-10,107.925,107.225,108.3,107.15,2090.0,0.0051,1
2020-12-09,107.375,107.85,108.075,107.225,2420.0,-0.0044,-1
2020-12-08,107.85,107.85,108.275,107.7,2500.0,-0.0014000000000000002,-1
2020-12-07,108.0,108.25,108.75,107.8,4210.0,-0.008,-1
2020-12-04,108.875,109.4,109.4,107.975,8160.0,-0.0066,-1
2020-12-03,109.6,110.6,110.6,108.95,6620.0,-0.009899999999999999,-1
2020-12-02,110.7,110.2,110.8,109.75,6700.0,0.0007000000000000001,1
2020-12-01,110.625,110.275,110.875,110.25,6190.0,0.0040999999999999995,1
2020-11-30,110.175,110.2,110.55,109.8,6470.0,-0.0040999999999999995,-1
2020-11-27,110.625,111.25,111.725,110.55,3980.0,-0.0067,-1
2020-11-25,111.375,111.525,111.65,110.875,6220.0,0.0018,1
2020-11-24,111.175,109.95,111.675,109.95,8900.0,0.010700000000000001,1
2020-11-23,110.0,108.55,110.7,108.525,9460.0,0.0176,1
