Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,647.38,644.38,649.38,640.5,,0.0054,1
2021-01-07,643.88,647.38,648.12,638.12,,-0.005600000000000001,-1
2021-01-06,647.5,652.38,660.38,646.12,,-0.0088,-1
2021-01-05,653.25,641.38,664.38,639.62,,0.0155,1
2021-01-04,643.25,642.25,650.25,634.12,,0.0018,1
2021-01-03,642.12,642.12,642.12,642.12,,0.0006,1
2021-01-01,641.75,641.75,641.75,641.75,,0.0,0
2020-12-31,641.75,639.12,644.38,632.62,,0.0034999999999999996,1
2020-12-30,639.5,619.38,643.38,614.12,,0.0327,1
2020-12-29,619.25,614.0,623.12,611.38,,0.0073,1
2020-12-28,614.75,627.88,631.0,607.12,,-0.018799999999999997,-1
2020-12-27,626.5,627.1,627.1,626.5,,-0.001,-1
2020-12-25,627.1,627.1,627.1,627.1,,0.0,0
2020-12-24,627.1,630.25,633.88,623.62,,-0.0058,-1
2020-12-23,630.75,615.0,633.75,610.62,,0.0239,1
2020-12-22,616.0,616.12,619.62,603.25,,0.0074,1
2020-12-21,611.5,609.88,614.88,596.5,,0.0084,1
2020-12-20,606.38,607.62,607.62,606.25,,-0.0025,-1
2020-12-18,607.88,611.0,614.38,604.5,,-0.0022,-1
2020-12-17,609.25,599.5,610.0,598.62,,0.0184,1
2020-12-16,598.25,601.62,607.62,590.12,,-0.0039000000000000003,-1
2020-12-15,600.62,596.38,605.62,594.38,,0.006500000000000001,1
2020-12-14,596.75,619.62,621.88,595.88,,-0.0325,-1
2020-12-11,616.8,598.12,619.12,590.25,,0.031400000000000004,1
2020-12-10,598.0,587.38,599.12,583.88,,0.024,1
2020-12-09,584.0,570.38,584.9,567.38,,0.025,1
2020-12-08,569.75,574.5,577.12,569.4,,-0.0104,-1
2020-12-07,575.75,574.88,579.6,566.38,,-0.0015,-1
2020-12-06,576.62,576.75,576.75,576.62,,0.0002,1
2020-12-04,576.5,584.5,585.5,575.38,,-0.0128,-1
2020-12-03,584.0,578.5,586.38,572.38,,0.0104,1
2020-12-02,578.0,573.88,578.88,564.75,,0.0046,1
2020-12-01,575.38,579.38,580.75,563.5,,-0.0097,-1
2020-11-30,581.0,599.12,600.0,579.5,,-0.0248,-1
2020-11-27,595.75,592.5,600.25,589.0,,0.0134,1
2020-11-26,587.88,587.75,587.88,587.62,,0.0004,1
2020-11-25,587.62,613.38,616.62,587.0,,-0.0341,-1
2020-11-24,608.38,598.75,612.12,594.12,,0.0148,1
2020-11-23,599.5,595.75,604.62,595.75,,0.009300000000000001,1
2020-11-22,594.0,593.38,594.0,593.38,,0.0019,1
2020-11-20,592.88,593.12,598.12,591.0,,-0.0002,-1
2020-11-19,593.0,598.38,600.12,589.88,,-0.01,-1
2020-11-18,599.0,596.12,604.0,592.62,,0.0070999999999999995,1
2020-11-17,594.75,599.0,603.38,592.62,,-0.0060999999999999995,-1
2020-11-16,598.38,594.62,600.88,586.12,,0.009300000000000001,1
2020-11-13,592.88,586.75,596.12,580.25,,0.0092,1
2020-11-12,587.5,597.62,598.62,587.12,,-0.015700000000000002,-1
2020-11-11,596.88,607.0,613.38,595.62,,-0.0179,-1
2020-11-10,607.75,597.0,612.88,594.12,,0.0189,1
2020-11-09,596.5,602.88,606.62,595.38,,-0.0077,-1
2020-11-08,601.12,602.0,602.0,601.12,,-0.0013,-1
2020-11-06,601.88,609.0,615.62,601.88,,-0.0129,-1
2020-11-05,609.75,606.62,625.88,606.62,,0.0058,1
2020-11-04,606.25,607.88,610.62,597.88,,-0.0037,-1
2020-11-03,608.5,606.38,616.5,604.25,,0.0012,1
2020-11-02,607.75,593.62,609.38,591.12,,0.0184,1
2020-11-01,596.75,596.75,596.75,596.75,,-0.0029,-1
2020-10-30,598.5,601.88,607.38,595.25,,-0.0073,-1
2020-10-29,602.88,610.12,611.12,598.62,,-0.0121,-1
2020-10-28,610.25,613.25,613.88,601.62,,-0.0085,-1
2020-10-27,615.5,618.62,626.88,614.88,,-0.0044,-1
2020-10-26,618.25,631.62,632.88,615.88,,-0.026000000000000002,-1
2020-10-25,634.75,634.75,634.75,634.75,,0.0004,1
2020-10-23,634.5,622.38,635.38,619.88,,0.0199,1
2020-10-22,622.12,627.38,632.12,621.25,,-0.0012,-1
2020-10-21,622.88,634.38,637.38,622.5,,-0.0166,-1
2020-10-20,633.38,627.38,637.62,623.62,,0.0102,1
2020-10-19,627.0,630.0,636.62,620.12,,-0.005600000000000001,-1
2020-10-18,630.5,626.12,630.5,625.75,,0.006999999999999999,1
2020-10-16,626.12,618.88,630.5,615.88,,0.011899999999999999,1
2020-10-15,618.75,597.12,619.38,596.75,,0.0362,1
2020-10-14,597.12,594.12,600.12,587.38,,0.0042,1
2020-10-13,594.62,595.75,604.12,590.75,,-0.0034000000000000002,-1
