,Date,Price,Open,High,Low,Vol.,Change %,direction
0,2021-01-08,68.7,69.28,69.6,68.32,23620.0,-0.0060999999999999995,-1
1,2021-01-07,69.13,69.45,69.88,69.03,16010.000000000002,-0.009300000000000001,-1
2,2021-01-06,69.78,71.07,71.75,69.53,20470.0,-0.016200000000000003,-1
3,2021-01-05,70.93,71.4,71.4,70.1,18960.0,-0.0042,-1
4,2021-01-04,71.22,71.43,72.0,70.68,24530.0,0.0124,1
5,2021-01-01,70.35,70.35,70.35,70.35,,0.0011,1
6,2020-12-31,70.28,68.03,70.5,67.95,24320.0,0.039599999999999996,1
7,2020-12-30,67.6,67.1,69.15,67.07,18180.0,0.006,1
8,2020-12-29,67.2,66.78,67.75,66.05,12890.0,0.0105,1
9,2020-12-28,66.5,67.2,67.22,65.78,10220.0,-0.0066,-1
10,2020-12-27,66.94,66.94,66.94,66.94,,0.0,0
11,2020-12-25,66.94,66.94,66.94,66.94,,-0.0001,-1
12,2020-12-24,66.95,67.6,67.9,66.68,8620.0,-0.013300000000000001,-1
13,2020-12-23,67.85,66.13,68.13,65.78,16120.000000000002,0.0276,1
14,2020-12-22,66.03,66.38,66.6,65.72,10420.0,0.0015,1
15,2020-12-21,65.93,65.2,66.4,65.1,9820.0,0.0019,1
16,2020-12-18,65.8,65.03,66.0,64.75,8870.0,0.0046,1
17,2020-12-17,65.5,65.97,66.45,65.3,10150.0,-0.0072,-1
18,2020-12-16,65.97,65.6,66.1,64.65,13960.0,-0.0070999999999999995,-1
19,2020-12-15,66.45,65.3,66.9,65.22,14260.0,0.0239,1
20,2020-12-14,64.9,64.7,64.93,64.7,1600.0,0.0034999999999999996,1
21,2020-12-11,64.68,64.8,64.95,64.53,3800.0,-0.0019,-1
22,2020-12-10,64.8,65.0,65.07,64.68,2970.0,-0.005,-1
23,2020-12-09,65.13,64.85,65.22,64.63,3130.0,0.0089,1
24,2020-12-08,64.55,64.85,64.88,64.28,3430.0,0.0008,1
25,2020-12-07,64.5,65.35,65.6,64.35,4650.0,-0.0209,-1
26,2020-12-04,65.88,65.45,65.95,64.6,6890.0,-0.0023,-1
27,2020-12-03,66.03,66.43,66.45,65.85,4990.0,-0.0049,-1
28,2020-12-02,66.35,66.47,66.6,66.05,5300.0,-0.009300000000000001,-1
29,2020-12-01,66.97,67.93,67.95,66.7,6010.0,-0.0089,-1
30,2020-11-30,67.57,66.25,67.85,66.0,8550.0,0.0258,1
31,2020-11-27,65.88,66.18,66.2,65.55,3400.0,-0.0045000000000000005,-1
32,2020-11-25,66.18,65.4,66.32,64.93,6010.0,0.0134,1
33,2020-11-24,65.3,65.8,65.95,64.13,7370.0,0.0054,1
34,2020-11-23,64.95,64.75,66.43,64.47,11410.0,0.0129,1
35,2020-11-20,64.13,63.7,64.75,63.5,10220.0,0.0067,1
36,2020-11-19,63.7,65.38,65.5,63.5,9880.0,-0.0319,-1
37,2020-11-18,65.8,64.6,66.0,64.5,6870.0,0.0042,1
38,2020-11-17,65.53,65.15,66.18,64.9,13780.0,0.0058,1
39,2020-11-16,65.15,64.97,65.8,64.6,12600.0,0.0039000000000000003,1
40,2020-11-13,64.9,66.03,66.03,64.18,18180.0,-0.0137,-1
41,2020-11-12,65.8,65.63,66.57,65.22,26880.0,0.0154,1
42,2020-11-11,64.8,65.15,65.78,63.6,27210.0,-0.005,-1
43,2020-11-10,65.13,66.3,66.3,64.9,24090.0,-0.0072,-1
44,2020-11-09,65.6,65.8,66.57,65.25,25740.0,0.0108,1
45,2020-11-06,64.9,67.0,67.57,64.63,32110.0,-0.0374,-1
46,2020-11-05,67.43,66.88,67.6,66.43,18710.0,0.016200000000000003,1
47,2020-11-04,66.35,65.57,66.45,64.7,13320.0,0.014499999999999999,1
48,2020-11-03,65.4,66.5,66.8,65.15,15740.0,-0.0083,-1
49,2020-11-02,65.95,65.72,66.05,64.1,16750.0,0.005699999999999999,1
50,2020-10-30,65.57,66.45,66.97,65.2,18180.0,-0.0008,-1
51,2020-10-29,65.63,65.8,66.15,64.2,18260.0,-0.0113,-1
52,2020-10-28,66.38,67.0,67.32,65.82,15590.0,-0.018799999999999997,-1
53,2020-10-27,67.65,68.18,69.65,67.43,16970.0,-0.0015,-1
54,2020-10-26,67.75,66.68,67.95,65.3,18180.0,0.0108,1
55,2020-10-23,67.03,66.35,67.22,65.7,14250.0,0.0125,1
56,2020-10-22,66.2,69.57,69.8,66.2,21220.0,-0.0434,-1
57,2020-10-21,69.2,69.9,70.82,68.85,19550.0,-0.0007000000000000001,-1
58,2020-10-20,69.25,70.97,71.05,68.5,24150.0,-0.0305,-1
59,2020-10-19,71.43,69.72,72.8,69.32,30550.0,0.0233,1
60,2020-10-16,69.8,70.3,70.7,68.82,17730.0,-0.0011,-1
61,2020-10-15,69.88,68.2,69.93,68.03,21380.0,-0.109,-1
62,2020-10-14,78.43,78.05,78.43,78.0,1770.0,0.008,1
63,2020-10-13,77.8,77.97,78.05,77.65,2550.0,-0.0048,-1
64,2020-10-12,78.18,78.22,78.28,78.05,3070.0,0.0006,1
65,2020-10-09,78.13,77.75,78.2,77.55,2550.0,0.01,1
66,2020-10-08,77.35,77.22,77.57,77.0,3980.0,0.0062,1
67,2020-10-07,76.88,76.45,77.03,76.2,5500.0,0.0072,1
68,2020-10-06,76.32,75.5,76.38,75.47,5450.0,0.021099999999999997,1
69,2020-10-05,74.75,74.32,74.9,74.0,4450.0,0.0034000000000000002,1
70,2020-10-02,74.5,74.7,75.43,74.25,5100.0,0.004699999999999999,1
71,2020-10-01,74.15,73.2,74.4,73.03,6980.0,0.018500000000000003,1
72,2020-09-30,72.8,72.57,73.05,72.2,5590.0,0.0059,1
73,2020-09-29,72.38,73.28,73.45,72.13,7480.0,-0.0045000000000000005,-1
74,2020-09-28,72.7,72.28,72.78,72.15,6210.0,0.0132,1
75,2020-09-25,71.75,69.47,72.0,68.9,9090.0,0.0327,1
76,2020-09-24,69.47,69.18,69.85,69.03,6330.0,-0.0004,-1
77,2020-09-23,69.5,68.3,69.55,68.25,8310.0,0.0172,1
78,2020-09-22,68.32,67.6,68.6,67.07,10660.0,0.0415,1
79,2020-09-21,65.6,66.1,66.47,65.28,8180.0,-0.013500000000000002,-1
80,2020-09-18,66.5,67.28,67.78,65.9,10560.0,-0.0004,-1
81,2020-09-17,66.53,66.07,67.2,65.6,14930.0,0.0199,1
82,2020-09-16,65.22,66.38,66.88,64.15,18710.0,-0.0072,-1
83,2020-09-15,65.7,65.25,67.0,65.15,21860.0,0.0166,1
84,2020-09-14,64.63,68.32,68.53,64.4,30790.0,-0.029300000000000003,-1
85,2020-09-11,66.57,67.47,68.72,66.13,50630.0,0.0342,1
86,2020-09-10,64.38,63.1,64.38,62.88,18370.0,0.0489,1
87,2020-09-09,61.38,60.05,61.72,59.78,30700.0,0.0246,1
88,2020-09-08,59.9,59.38,60.28,58.78,29290.0,0.0013,1
89,2020-09-04,59.83,59.9,60.95,58.88,23880.0,0.0097,1
90,2020-09-03,59.25,57.3,59.4,57.17,33940.0,0.050499999999999996,1
91,2020-09-02,56.4,55.25,56.92,54.9,23440.0,0.025,1
92,2020-09-01,55.03,54.0,55.2,53.8,18420.0,0.026600000000000002,1
93,2020-08-31,53.6,53.38,54.38,53.17,13110.0,-0.0009,-1
94,2020-08-28,53.65,55.03,55.08,53.22,19710.0,-0.037200000000000004,-1
95,2020-08-27,55.72,55.4,56.13,55.28,11780.0,0.0032,1
96,2020-08-26,55.55,55.95,56.7,54.65,15650.0,-0.0070999999999999995,-1
97,2020-08-25,55.95,55.47,56.17,55.17,12950.0,0.024700000000000003,1
98,2020-08-24,54.6,54.5,55.95,54.25,14300.0,0.006500000000000001,1
99,2020-08-21,54.25,55.53,55.97,54.08,13370.0,-0.0168,-1
100,2020-08-20,55.17,53.7,56.13,53.55,27790.0,0.05,1
101,2020-08-19,52.55,51.65,52.83,51.47,11340.0,0.0219,1
102,2020-08-18,51.42,53.45,53.55,51.28,15600.0,-0.0392,-1
103,2020-08-17,53.53,52.83,53.9,52.8,10560.0,-0.005600000000000001,-1
104,2020-08-14,53.83,53.8,53.97,53.7,,0.0023,1
105,2020-08-13,53.7,53.05,53.83,53.03,1870.0,0.0151,1
106,2020-08-12,52.9,52.83,53.08,52.6,3700.0,-0.0033,-1
107,2020-08-11,53.08,53.38,53.67,52.95,3570.0,-0.0009,-1
108,2020-08-10,53.13,51.85,53.42,51.65,6280.0,0.0417,1
109,2020-08-07,51.0,50.5,51.2,50.5,5070.0,0.025099999999999997,1
110,2020-08-06,49.75,49.45,50.0,49.45,3910.0,0.0060999999999999995,1
111,2020-08-05,49.45,49.33,49.7,49.2,8510.0,-0.005,-1
112,2020-08-04,49.7,49.9,50.47,49.55,6860.0,-0.0034999999999999996,-1
113,2020-08-03,49.88,51.28,51.5,49.65,8910.0,-0.0409,-1
114,2020-07-31,52.0,51.25,52.1,51.1,5690.0,0.011200000000000002,1
115,2020-07-30,51.42,53.05,53.13,51.03,7970.0,-0.0311,-1
116,2020-07-29,53.08,53.8,53.8,52.5,8870.0,-0.0208,-1
117,2020-07-28,54.2,54.75,55.28,54.03,7630.0,-0.0064,-1
118,2020-07-27,54.55,54.25,54.92,53.67,9240.0,0.0102,1
119,2020-07-24,54.0,54.03,54.2,52.78,8670.0,-0.0087,-1
120,2020-07-23,54.47,53.1,54.95,52.92,11710.0,0.0347,1
121,2020-07-22,52.65,52.75,53.05,52.0,10470.0,0.022799999999999997,1
122,2020-07-21,51.47,50.53,51.65,50.5,10550.0,0.0213,1
123,2020-07-20,50.4,52.83,53.28,50.2,16450.0,-0.0455,-1
124,2020-07-17,52.8,53.2,53.63,52.33,14420.0,-0.0158,-1
125,2020-07-16,53.65,50.55,53.8,50.5,29740.0,0.13369999999999999,1
126,2020-07-15,47.33,46.92,47.53,46.85,1460.0,0.011200000000000002,1
127,2020-07-14,46.8,46.58,46.95,46.55,1730.0,0.0027,1
128,2020-07-13,46.67,46.08,46.97,45.95,3770.0,0.0152,1
129,2020-07-10,45.97,46.0,46.5,45.83,3440.0,0.0027,1
130,2020-07-09,45.85,44.6,46.2,44.6,5320.0,0.0409,1
131,2020-07-08,44.05,44.35,44.55,43.58,9280.0,-0.010700000000000001,-1
132,2020-07-07,44.53,44.67,44.95,44.53,4230.0,-0.0095,-1
133,2020-07-06,44.95,45.0,45.45,44.65,4360.0,0.005,1
134,2020-07-02,44.72,45.08,45.35,44.63,2120.0,-0.0017000000000000001,-1
135,2020-07-01,44.8,44.75,45.35,44.5,3370.0,-0.0083,-1
136,2020-06-30,45.17,45.28,45.63,45.08,3290.0,-0.0044,-1
137,2020-06-29,45.38,45.28,45.6,45.08,2450.0,0.0022,1
138,2020-06-26,45.28,45.28,45.75,44.97,6620.0,-0.0352,-1
139,2020-06-25,46.92,46.03,47.15,46.03,4400.0,0.0218,1
140,2020-06-24,45.92,46.33,46.72,45.85,4900.0,-0.0208,-1
141,2020-06-23,46.9,46.83,47.47,46.28,6960.0,0.0016,1
142,2020-06-22,46.83,47.88,48.08,45.75,6520.0,-0.0335,-1
143,2020-06-19,48.45,49.95,50.35,48.33,7140.0,-0.0291,-1
