Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,355.4,353.6,355.8,353.2,,0.0004,1
2021-01-07,355.25,361.0,361.0,352.25,,-0.0125,-1
2021-01-06,359.75,362.75,363.25,357.0,120.0,-0.0096,-1
2021-01-05,363.25,353.25,366.5,352.25,260.0,0.0204,1
2021-01-04,356.0,361.0,370.0,353.75,610.0,-0.0132,-1
2020-12-31,360.75,349.75,363.0,345.75,390.0,0.0337,1
2020-12-30,349.0,338.5,349.75,338.25,380.0,0.029500000000000002,1
2020-12-29,339.0,337.0,340.0,336.5,220.0,0.0067,1
2020-12-28,336.75,336.5,339.25,335.25,200.0,0.0037,1
2020-12-24,335.5,335.75,337.5,335.0,100.0,-0.0022,-1
2020-12-23,336.25,335.25,338.0,331.5,250.0,-0.0015,-1
2020-12-22,336.75,337.5,338.5,335.0,140.0,-0.003,-1
2020-12-21,337.75,337.75,339.0,335.0,250.0,0.0,0
2020-12-18,337.75,335.5,341.0,334.5,280.0,0.003,1
2020-12-17,336.75,334.25,338.0,333.5,330.0,0.0022,1
2020-12-16,336.0,334.25,338.75,333.75,210.0,0.006,1
2020-12-15,334.0,335.75,336.75,329.5,420.0,-0.031200000000000002,-1
2020-12-14,344.75,337.1,342.5,336.4,,0.0,0
2020-12-11,344.75,330.7,338.4,330.0,,0.017,1
2020-12-10,339.0,325.7,334.7,324.6,,0.013500000000000002,1
2020-12-09,334.5,322.1,328.5,320.1,,0.0129,1
2020-12-08,330.25,348.75,349.0,348.75,0.0,0.016200000000000003,1
2020-12-07,325.0,306.1,319.2,304.4,,0.0375,1
2020-12-04,313.25,311.0,311.0,311.0,0.0,0.0313,1
2020-12-03,303.75,303.0,303.0,303.0,0.0,0.031400000000000004,1
2020-12-02,294.5,288.0,324.25,288.0,110.0,0.016399999999999998,1
2020-12-01,289.75,283.25,292.0,283.0,100.0,0.0176,1
2020-11-30,284.75,297.25,297.25,284.0,60.0,-0.013000000000000001,-1
2020-11-27,288.5,287.25,287.25,283.0,590.0,0.0096,1
2020-11-25,285.75,288.0,289.0,283.0,360.0,-0.0060999999999999995,-1
2020-11-24,287.5,287.5,289.0,283.0,470.0,0.0009,1
2020-11-23,287.25,298.0,298.75,287.0,390.0,-0.0353,-1
2020-11-20,297.75,297.5,299.5,295.0,710.0,0.0017000000000000001,1
2020-11-19,297.25,298.5,299.75,295.25,270.0,-0.0008,-1
2020-11-18,297.5,296.25,298.75,294.0,510.0,0.0042,1
2020-11-17,296.25,297.25,302.25,295.5,700.0,0.0,0
2020-11-16,296.25,296.25,299.25,294.5,460.0,0.0025,1
2020-11-13,295.5,299.75,299.75,293.25,710.0,-0.015,-1
2020-11-12,300.0,303.5,304.75,298.0,500.0,-0.0123,-1
2020-11-11,303.75,307.25,308.75,303.25,130.0,-0.011399999999999999,-1
2020-11-10,307.25,302.25,310.0,300.0,620.0,0.0132,1
2020-11-09,303.25,299.5,304.5,299.5,90.0,0.0092,1
2020-11-06,300.5,301.5,305.0,296.75,240.0,-0.005,-1
2020-11-05,302.0,297.5,307.75,297.0,400.0,0.0177,1
2020-11-04,296.75,296.25,300.0,293.0,240.0,0.0025,1
2020-11-03,296.0,293.75,296.0,291.5,340.0,0.012,1
