Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,12.722999999999999,12.72,12.725,12.703,,0.0219,1
2021-01-07,12.45,12.658,12.73,12.62,,0.0024,1
2021-01-06,12.42,12.64,12.7,12.615,200.0,0.0053,1
2021-01-05,12.355,12.655,12.715,12.517999999999999,10.0,-0.0076,-1
2021-01-04,12.45,12.65,12.65,12.65,20.0,0.004,1
2020-12-31,12.4,12.24,12.24,12.24,120.0,0.016,1
2020-12-30,12.205,12.225,12.39,12.15,70.0,0.0,0
2020-12-29,12.205,12.0,12.24,12.0,150.0,0.0175,1
2020-12-28,11.995,12.32,12.32,11.99,1400.0,-0.0368,-1
2020-12-25,12.453,12.453,12.453,12.453,,0.0141,1
2020-12-24,12.28,12.375,12.385,12.26,530.0,-0.0089,-1
2020-12-23,12.39,12.39,12.445,12.34,600.0,0.002,1
2020-12-22,12.365,12.355,12.435,12.325,430.0,0.0004,1
2020-12-21,12.36,12.6,12.6,12.36,650.0,-0.0175,-1
2020-12-18,12.58,12.58,12.64,12.525,750.0,-0.0004,-1
2020-12-17,12.585,12.31,12.62,12.31,1470.0,0.0199,1
2020-12-16,12.34,12.315,12.37,12.305,1290.0,0.0008,1
2020-12-15,12.33,12.37,12.37,12.27,1130.0,-0.0068000000000000005,-1
2020-12-14,12.415,12.45,12.5,12.37,1040.0,-0.0044,-1
2020-12-11,12.47,12.4,12.485,12.4,460.0,0.005600000000000001,1
2020-12-10,12.4,12.375,12.52,12.34,610.0,0.0028000000000000004,1
2020-12-09,12.365,12.31,12.375,12.3,340.0,0.0028000000000000004,1
2020-12-08,12.33,12.32,12.37,12.25,790.0,0.0016,1
2020-12-07,12.31,12.225,12.35,12.205,720.0,0.006999999999999999,1
2020-12-04,12.225,12.315,12.315,12.225,630.0,-0.008100000000000001,-1
2020-12-03,12.325,12.41,12.415,12.305,480.0,-0.01,-1
2020-12-02,12.45,12.46,12.53,12.415,300.0,-0.0064,-1
2020-12-01,12.53,12.525,12.61,12.475,750.0,-0.002,-1
2020-11-30,12.555,12.675,12.7,12.41,720.0,-0.0095,-1
2020-11-27,12.675,12.475,12.69,12.44,330.0,0.018500000000000003,1
2020-11-25,12.445,12.405,12.56,12.4,210.0,0.0044,1
2020-11-24,12.39,12.425,12.465,12.355,190.0,-0.004,-1
2020-11-23,12.44,12.455,12.455,12.15,360.0,-0.002,-1
