Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,496.88,493.88,499.4,492.6,,0.0058,1
2021-01-07,494.0,495.0,496.0,487.25,,-0.002,-1
2021-01-06,495.0,492.5,502.75,491.5,202370.0,0.0066,1
2021-01-05,491.75,484.5,496.0,482.5,219650.0,0.0165,1
2021-01-04,483.75,487.25,497.75,479.5,265160.0,-0.0040999999999999995,-1
2021-01-01,485.75,485.75,485.75,485.75,,0.0036,1
2020-12-31,484.0,474.0,485.75,473.0,168460.0,0.02,1
2020-12-30,474.5,466.0,476.0,462.0,163370.0,0.0182,1
2020-12-29,466.0,455.75,467.25,453.5,191300.0,0.0208,1
2020-12-28,456.5,452.0,457.5,448.0,145220.0,0.012199999999999999,1
2020-12-24,451.0,446.75,451.5,446.5,74880.0,0.0084,1
2020-12-23,447.25,442.75,449.75,441.5,147650.0,0.0085,1
2020-12-22,443.5,440.0,444.25,437.25,140990.0,0.008,1
2020-12-21,440.0,438.0,440.75,430.25,141950.0,0.005699999999999999,1
2020-12-18,437.5,432.25,438.5,432.0,128810.0,0.0116,1
2020-12-17,432.5,426.25,433.0,424.25,119660.0,0.0123,1
2020-12-16,427.25,425.25,429.25,423.75,111650.0,0.0059,1
2020-12-15,424.75,424.0,425.25,420.5,98610.0,0.0131,1
2020-12-14,419.25,424.75,429.75,422.0,200.0,-0.0118,-1
2020-12-11,424.25,422.0,424.5,417.5,1720.0,0.0095,1
2020-12-10,420.25,422.0,425.75,420.0,1260.0,-0.0040999999999999995,-1
2020-12-09,422.0,418.0,422.25,418.0,1080.0,0.012,1
2020-12-08,417.0,418.75,419.0,415.5,1760.0,-0.006,-1
2020-12-07,419.5,415.25,421.0,412.0,1160.0,0.006,1
2020-12-04,417.0,422.25,422.75,415.75,1680.0,-0.013000000000000001,-1
2020-12-03,422.5,419.25,423.25,417.75,2380.0,0.0084,1
2020-12-02,419.0,414.5,419.75,409.0,3550.0,0.0102,1
2020-12-01,414.75,420.0,423.0,414.0,5320.0,-0.011899999999999999,-1
2020-11-30,419.75,427.5,430.5,418.25,14700.0,-0.013500000000000002,-1
2020-11-27,425.5,420.25,426.25,418.5,68260.0,0.0131,1
2020-11-25,420.0,426.0,427.5,420.0,124260.0,-0.013500000000000002,-1
2020-11-24,425.75,425.75,426.5,416.5,144300.0,-0.0018,-1
2020-11-23,426.5,427.5,429.75,423.5,153800.0,0.0077,1
2020-11-20,423.25,422.25,428.0,421.5,137240.0,0.0018,1
2020-11-19,422.5,424.5,425.5,418.75,133310.0,-0.0076,-1
2020-11-18,425.75,419.0,428.5,418.5,205430.0,0.0131,1
2020-11-17,420.25,417.5,422.0,417.25,156570.0,0.0096,1
2020-11-16,416.25,409.0,416.75,409.0,132120.0,0.013999999999999999,1
2020-11-13,410.5,407.5,413.25,403.75,188490.0,0.0055000000000000005,1
2020-11-12,408.25,417.25,418.5,406.25,234330.0,-0.0216,-1
2020-11-11,417.25,422.5,428.0,416.25,306430.0,-0.013600000000000001,-1
2020-11-10,423.0,407.0,427.25,406.25,355810.0,0.038,1
2020-11-09,407.5,405.75,410.0,401.75,204110.0,0.0018,1
2020-11-06,406.75,409.0,412.0,405.75,200680.0,-0.0060999999999999995,-1
2020-11-05,409.25,405.0,417.25,404.0,245190.0,0.009899999999999999,1
2020-11-04,405.25,400.0,406.0,396.5,176330.0,0.0106,1
2020-11-03,401.0,396.25,403.25,395.25,184360.0,0.0088,1
2020-11-02,397.5,396.0,397.75,393.0,165150.0,-0.0025,-1
2020-10-30,398.5,397.25,400.0,394.25,209480.0,0.0,0
