Date,Price,Open,High,Low,Vol.,Change %,direction
2021-01-08,"1,370.12","1,359.00","1,370.12","1,348.50",,0.0097,1
2021-01-07,"1,357.00","1,365.00","1,368.62","1,342.12",,-0.0053,-1
2021-01-06,"1,364.25","1,358.38","1,378.25","1,355.25",,0.0102,1
2021-01-05,"1,350.50","1,314.75","1,372.75","1,314.75",,0.0286,1
2021-01-04,"1,313.00","1,318.38","1,349.38","1,301.00",,0.0021,1
2021-01-01,"1,310.25","1,310.25","1,310.25","1,310.25",,0.0,0
2020-12-31,"1,310.25","1,297.25","1,320.60","1,295.62",,0.0102,1
2020-12-30,"1,297.00","1,294.88","1,305.90","1,280.25",,-0.0017000000000000001,-1
2020-12-29,"1,299.25","1,255.12","1,299.38","1,246.38",,0.0363,1
2020-12-28,"1,253.75","1,274.88","1,280.10","1,246.88",,-0.0084,-1
2020-12-27,"1,264.40","1,265.25","1,265.25","1,264.40",,0.0,0
2020-12-25,"1,264.40","1,264.40","1,264.40","1,264.40",,0.0,0
2020-12-24,"1,264.40","1,260.62","1,274.88","1,260.62",,0.0025,1
2020-12-23,"1,261.25","1,251.00","1,267.62","1,242.38",,0.0078000000000000005,1
2020-12-22,"1,251.50","1,248.75","1,256.38","1,240.88",,0.0034000000000000002,1
2020-12-21,"1,247.25","1,230.38","1,248.12","1,217.50",,0.0241,1
2020-12-18,"1,217.88","1,202.25","1,224.62","1,201.75",,0.013600000000000001,1
2020-12-17,"1,201.50","1,184.38","1,202.88","1,179.88",,0.0165,1
2020-12-16,"1,182.00","1,187.00","1,195.00","1,181.88",,-0.0032,-1
2020-12-15,"1,185.75","1,170.88","1,185.88","1,162.00",,0.0137,1
2020-12-14,"1,169.75","1,164.12","1,173.00","1,161.62",,0.0076,1
2020-12-11,"1,160.90","1,156.62","1,162.62","1,151.10",,0.0058,1
2020-12-10,"1,154.25","1,160.38","1,176.40","1,150.50",,-0.0040999999999999995,-1
2020-12-09,"1,159.00","1,146.88","1,160.60","1,145.60",,0.0113,1
2020-12-08,"1,146.00","1,157.12","1,160.38","1,142.88",,-0.009300000000000001,-1
2020-12-07,"1,156.75","1,158.75","1,168.90","1,149.12",,-0.0042,-1
2020-12-04,"1,161.62","1,168.12","1,172.38","1,157.88",,-0.0044,-1
2020-12-03,"1,166.75","1,154.38","1,170.62","1,152.25",,0.011899999999999999,1
2020-12-02,"1,153.00","1,163.75","1,163.75","1,142.62",,-0.0088,-1
2020-12-01,"1,163.25","1,169.62","1,175.88","1,161.38",,-0.004699999999999999,-1
2020-11-30,"1,168.75","1,198.38","1,198.75","1,168.12",,-0.0208,-1
2020-11-27,"1,193.62","1,185.88","1,193.62","1,179.62",,0.0079,1
2020-11-25,"1,184.25","1,197.38","1,198.50","1,183.38",,-0.008199999999999999,-1
2020-11-24,"1,194.00","1,191.62","1,194.00","1,174.12",,0.0017000000000000001,1
2020-11-23,"1,192.00","1,197.00","1,199.62","1,186.12",,0.0088,1
2020-11-20,"1,181.62","1,185.12","1,196.62","1,176.88",,0.0031,1
2020-11-19,"1,178.00","1,173.62","1,181.12","1,161.88",,0.0036,1
2020-11-18,"1,173.75","1,170.38","1,189.62","1,167.88",,0.0034000000000000002,1
2020-11-17,"1,169.75","1,158.62","1,178.38","1,157.38",,0.013000000000000001,1
2020-11-16,"1,154.75","1,149.88","1,155.12","1,144.12",,0.0055000000000000005,1
2020-11-13,"1,148.38","1,145.50","1,156.88","1,138.12",,0.0021,1
2020-11-12,"1,146.00","1,152.38","1,154.00","1,140.12",,-0.0059,-1
2020-11-11,"1,152.75","1,146.88","1,162.12","1,145.12",,0.0055000000000000005,1
2020-11-10,"1,146.50","1,110.75","1,153.12","1,108.12",,0.0327,1
2020-11-09,"1,110.25","1,102.00","1,117.62","1,099.88",,0.006500000000000001,1
2020-11-06,"1,103.12","1,102.38","1,109.88","1,098.62",,-0.0006,-1
2020-11-05,"1,103.75","1,085.50","1,112.38","1,083.62",,0.017,1
2020-11-04,"1,085.25","1,063.00","1,087.88","1,055.88",,0.021400000000000002,1
2020-11-03,"1,062.50","1,048.62","1,070.62","1,048.62",,0.0069,1
2020-11-02,"1,055.25","1,053.00","1,055.25","1,041.62",,-0.004699999999999999,-1
2020-11-01,"1,060.25","1,060.25","1,060.25","1,060.25",,0.0032,1
2020-10-30,"1,056.88","1,050.25","1,062.25","1,046.88",,0.005600000000000001,1
2020-10-29,"1,051.00","1,059.88","1,062.50","1,050.88",,-0.0073,-1
2020-10-28,"1,058.75","1,080.62","1,081.50","1,056.88",,-0.0217,-1
2020-10-27,"1,082.25","1,085.88","1,093.88","1,081.75",,-0.0025,-1
2020-10-26,"1,085.00","1,085.62","1,089.88","1,078.12",,-0.0016,-1
2020-10-23,"1,086.75","1,071.62","1,088.38","1,065.88",,0.0148,1
2020-10-22,"1,070.88","1,071.62","1,085.12","1,063.50",,-0.0008,-1
2020-10-21,"1,071.75","1,064.62","1,076.88","1,064.38",,0.0060999999999999995,1
