ACCURACY,GRAIN,DELAY,TEXT,TOOL,EXPERIMENT
0.5739130434782609,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,0,Content,VADER,3b
0.5594202898550724,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,0,Content,VADER,3b
0.6115942028985507,CORN,0,Content,VADER,3b
0.5739130434782609,CORN,0,Content,VADER,3b
0.5304347826086957,CORN,0,Content,VADER,3b
0.6028985507246377,CORN,0,Content,VADER,3b
0.6115942028985507,CORN,0,Content,VADER,3b
0.6,CORN,0,Content,VADER,3b
0.5797101449275363,CORN,0,Content,VADER,3b
0.5681159420289855,CORN,0,Content,VADER,3b
0.5855072463768116,CORN,0,Content,VADER,3b
0.6376811594202898,CORN,0,Content,VADER,3b
0.591304347826087,CORN,0,Content,VADER,3b
0.5507246376811594,CORN,0,Content,VADER,3b
0.5420289855072464,CORN,0,Content,VADER,3b
0.5942028985507246,CORN,0,Content,VADER,3b
0.5739130434782609,CORN,0,Content,VADER,3b
0.5594202898550724,CORN,0,Content,VADER,3b
0.6028985507246377,CORN,0,Content,VADER,3b
0.5739130434782609,CORN,0,Content,VADER,3b
0.6115942028985507,CORN,0,Content,VADER,3b
0.5942028985507246,CORN,0,Content,VADER,3b
0.553623188405797,CORN,0,Content,VADER,3b
0.591304347826087,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,0,Content,VADER,3b
0.6086956521739131,CORN,0,Content,VADER,3b
0.5710144927536231,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,0,Content,VADER,3b
0.5623188405797102,CORN,0,Content,VADER,3b
0.5971014492753624,CORN,0,Content,VADER,3b
0.5942028985507246,CORN,0,Content,VADER,3b
0.5739130434782609,CORN,0,Content,VADER,3b
0.5710144927536231,CORN,0,Content,VADER,3b
0.5826086956521739,CORN,0,Content,VADER,3b
0.6231884057971014,CORN,0,Content,VADER,3b
0.5739130434782609,CORN,0,Content,VADER,3b
0.5594202898550724,CORN,0,Content,VADER,3b
0.5652173913043478,CORN,0,Content,VADER,3b
0.5362318840579711,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,0,Content,VADER,3b
0.6057971014492753,CORN,0,Content,VADER,3b
0.6492753623188405,CORN,0,Content,VADER,3b
0.5855072463768116,CORN,0,Content,VADER,3b
0.6318840579710145,CORN,0,Content,VADER,3b
0.5710144927536231,CORN,0,Content,VADER,3b
0.5710144927536231,CORN,0,Content,VADER,3b
0.6173913043478261,CORN,0,Content,VADER,3b
0.6028985507246377,CORN,0,Content,VADER,3b
0.5884057971014492,CORN,1,Content,VADER,3b
0.6028985507246377,CORN,1,Content,VADER,3b
0.5768115942028985,CORN,1,Content,VADER,3b
0.5884057971014492,CORN,1,Content,VADER,3b
0.5710144927536231,CORN,1,Content,VADER,3b
0.6086956521739131,CORN,1,Content,VADER,3b
0.5420289855072464,CORN,1,Content,VADER,3b
0.5652173913043478,CORN,1,Content,VADER,3b
0.6028985507246377,CORN,1,Content,VADER,3b
0.6057971014492753,CORN,1,Content,VADER,3b
0.5449275362318841,CORN,1,Content,VADER,3b
0.6144927536231884,CORN,1,Content,VADER,3b
0.553623188405797,CORN,1,Content,VADER,3b
0.5942028985507246,CORN,1,Content,VADER,3b
0.5710144927536231,CORN,1,Content,VADER,3b
0.5623188405797102,CORN,1,Content,VADER,3b
0.5681159420289855,CORN,1,Content,VADER,3b
0.5884057971014492,CORN,1,Content,VADER,3b
0.5826086956521739,CORN,1,Content,VADER,3b
0.5884057971014492,CORN,1,Content,VADER,3b
0.5826086956521739,CORN,1,Content,VADER,3b
0.5826086956521739,CORN,1,Content,VADER,3b
0.6028985507246377,CORN,1,Content,VADER,3b
0.5942028985507246,CORN,1,Content,VADER,3b
0.5710144927536231,CORN,1,Content,VADER,3b
0.5971014492753624,CORN,1,Content,VADER,3b
0.5739130434782609,CORN,1,Content,VADER,3b
0.6,CORN,1,Content,VADER,3b
0.591304347826087,CORN,1,Content,VADER,3b
0.5855072463768116,CORN,1,Content,VADER,3b
0.5768115942028985,CORN,1,Content,VADER,3b
0.5681159420289855,CORN,1,Content,VADER,3b
0.5942028985507246,CORN,1,Content,VADER,3b
0.591304347826087,CORN,1,Content,VADER,3b
0.5594202898550724,CORN,1,Content,VADER,3b
0.5797101449275363,CORN,1,Content,VADER,3b
0.6173913043478261,CORN,1,Content,VADER,3b
0.5623188405797102,CORN,1,Content,VADER,3b
0.6202898550724638,CORN,1,Content,VADER,3b
0.591304347826087,CORN,1,Content,VADER,3b
0.5855072463768116,CORN,1,Content,VADER,3b
0.5884057971014492,CORN,1,Content,VADER,3b
0.5797101449275363,CORN,1,Content,VADER,3b
0.5710144927536231,CORN,1,Content,VADER,3b
0.5797101449275363,CORN,1,Content,VADER,3b
0.5623188405797102,CORN,1,Content,VADER,3b
0.5739130434782609,CORN,1,Content,VADER,3b
0.6115942028985507,CORN,1,Content,VADER,3b
0.6231884057971014,CORN,1,Content,VADER,3b
0.5855072463768116,CORN,1,Content,VADER,3b
0.5959302325581395,CORN,2,Content,VADER,3b
0.5581395348837209,CORN,2,Content,VADER,3b
0.5959302325581395,CORN,2,Content,VADER,3b
0.5843023255813954,CORN,2,Content,VADER,3b
0.5145348837209303,CORN,2,Content,VADER,3b
0.5872093023255814,CORN,2,Content,VADER,3b
0.5552325581395349,CORN,2,Content,VADER,3b
0.5901162790697675,CORN,2,Content,VADER,3b
0.5552325581395349,CORN,2,Content,VADER,3b
0.6075581395348837,CORN,2,Content,VADER,3b
0.5465116279069767,CORN,2,Content,VADER,3b
0.5755813953488372,CORN,2,Content,VADER,3b
0.5726744186046512,CORN,2,Content,VADER,3b
0.5697674418604651,CORN,2,Content,VADER,3b
0.563953488372093,CORN,2,Content,VADER,3b
0.6046511627906976,CORN,2,Content,VADER,3b
0.6046511627906976,CORN,2,Content,VADER,3b
0.5726744186046512,CORN,2,Content,VADER,3b
0.5697674418604651,CORN,2,Content,VADER,3b
0.561046511627907,CORN,2,Content,VADER,3b
0.5930232558139535,CORN,2,Content,VADER,3b
0.5988372093023255,CORN,2,Content,VADER,3b
0.5813953488372093,CORN,2,Content,VADER,3b
0.5872093023255814,CORN,2,Content,VADER,3b
0.6104651162790697,CORN,2,Content,VADER,3b
