Price T-1,content_positiveness,content_negativeness,Price
254.5,0.073,0.08900000000000001,254.75
249.25,0.217,0.009000000000000001,250.0
251.5,0.172,0.006,248.0
248.0,0.05,0.0,246.25
246.25,0.031,0.045,240.5
235.0,0.015,0.0,231.25
227.25,0.147,0.057,224.25
225.5,0.054000000000000006,0.055999999999999994,222.75
224.5,0.098,0.052000000000000005,225.5
217.5,0.122,0.067,218.75
218.75,0.13,0.031,222.5
223.0,0.192,0.049,237.5
252.75,0.08800000000000001,0.049,241.2
237.7,0.146,0.0,230.25
246.75,0.105,0.062,241.25
245.0,0.068,0.083,252.25
249.75,0.013999999999999999,0.0,253.25
265.5,0.267,0.065,290.0
306.0,0.062,0.09300000000000001,292.2
292.2,0.084,0.11,300.25
285.5,0.10300000000000001,0.0,291.75
228.25,0.124,0.053,223.5
239.0,0.034,0.0,239.4
248.0,0.012,0.013000000000000001,249.5
249.5,0.177,0.057,251.25
252.5,0.276,0.046,251.25
261.75,0.136,0.077,266.75
264.75,0.11199999999999999,0.025,267.75
262.5,0.085,0.066,265.25
263.25,0.059000000000000004,0.035,264.75
264.5,0.076,0.07,263.0
273.0,0.105,0.03,272.0
250.5,0.099,0.009000000000000001,244.75
267.25,0.071,0.081,269.0
266.25,0.059000000000000004,0.039,258.25
264.75,0.023,0.016,262.0
263.5,0.179,0.039,258.0
251.0,0.19899999999999998,0.0,242.25
235.0,0.111,0.08,235.5
231.5,0.096,0.0,228.75
226.0,0.029666666666666664,0.018666666666666668,221.75
221.75,0.081,0.066,225.0
237.5,0.10300000000000001,0.08199999999999999,237.5
230.5,0.155,0.065,228.75
226.75,0.201,0.033,224.25
229.0,0.0715,0.0285,241.4
243.5,0.215,0.02,236.2
240.6,0.04,0.068,240.25
240.75,0.08800000000000001,0.083,242.5
233.25,0.096,0.095,235.0
241.0,0.013999999999999999,0.0,241.25
243.0,0.11800000000000001,0.077,250.5
250.5,0.085,0.10099999999999999,245.5
245.5,0.037000000000000005,0.0,254.0
239.3,0.08199999999999999,0.102,256.0
236.9,0.138,0.013000000000000001,257.5
231.5,0.18600000000000003,0.0,231.5
233.25,0.147,0.027999999999999997,231.5
232.75,0.14400000000000002,0.011000000000000001,235.75
261.5,0.11199999999999999,0.0,255.25
263.75,0.114,0.10400000000000001,261.5
253.75,0.16399999999999998,0.0,258.75
257.0,0.122,0.018000000000000002,259.75
259.5,0.163,0.019,247.25
247.25,0.11699999999999999,0.052000000000000005,247.25
242.8,0.21100000000000002,0.022000000000000002,243.0
259.25,0.0235,0.003,257.0
260.25,0.026000000000000002,0.052000000000000005,264.75
287.0,0.162,0.0,282.25
292.0,0.107,0.105,286.5
285.0,0.12300000000000001,0.05,285.0
278.25,0.11599999999999999,0.013000000000000001,277.25
279.5,0.07200000000000001,0.048,282.75
294.75,0.129,0.064,300.0
295.75,0.105,0.0,298.75
285.5,0.13699999999999998,0.038,282.0
287.0,0.061,0.055999999999999994,281.75
275.75,0.015,0.0,270.0
264.75,0.11199999999999999,0.0615,269.0
278.5,0.0865,0.051,278.0
281.25,0.122,0.0255,279.0
289.25,0.16699999999999998,0.042,294.75
295.5,0.128,0.019,277.3
280.0,0.0755,0.025,270.0
296.5,0.239,0.0,308.5
302.75,0.153,0.005,297.5
297.5,0.127,0.013999999999999999,285.5
270.5,0.171,0.033,271.5
286.3,0.198,0.023,286.1
278.0,0.247,0.021,275.5
281.25,0.11900000000000001,0.087,275.75
266.75,0.185,0.028999999999999998,266.0
265.75,0.152,0.06,265.75
270.25,0.09699999999999999,0.075,272.75
272.75,0.14300000000000002,0.039,271.5
269.7,0.11900000000000001,0.027000000000000003,274.8
281.0,0.051,0.069,281.25
275.75,0.203,0.036000000000000004,279.75
279.75,0.0925,0.053,273.5
284.5,0.131,0.03,285.75
297.75,0.073,0.075,296.5
288.5,0.085,0.035,296.75
300.75,0.11,0.087,307.0
308.75,0.055,0.08199999999999999,309.0
313.75,0.05,0.025,313.5
320.25,0.079,0.027999999999999997,303.2
316.25,0.121,0.028999999999999998,313.75
305.5,0.073,0.069,311.75
311.75,0.08,0.043,314.75
308.0,0.124,0.037000000000000005,304.5
303.5,0.053,0.073,301.25
255.25,0.015,0.0,261.25
261.5,0.10400000000000001,0.05,264.25
319.75,0.193,0.006999999999999999,323.5
319.0,0.065,0.08,302.75
311.5,0.23199999999999998,0.006999999999999999,329.0
336.75,0.07200000000000001,0.064,333.5
280.75,0.133,0.017,284.5
271.75,0.134,0.006999999999999999,268.5
273.75,0.068,0.08800000000000001,272.25
269.25,0.11,0.05,267.75
267.75,0.092,0.055,267.0
272.75,0.10300000000000001,0.11,283.25
285.75,0.01,0.005,282.25
