Price T-1,headline_positiveness,headline_negativeness,Price
9.365,0.0944,0.0836,9.7
9.7,0.15928571428571428,0.11214285714285714,9.51
9.51,0.153,0.0,9.67
9.67,0.0,0.078,9.63
9.63,0.0,0.0,9.455
9.455,0.18,0.0,9.39
9.39,0.0703,0.0231,9.77
9.77,0.10333333333333332,0.0,9.88
9.88,0.07025,0.1625,9.95
9.95,0.111,0.1225,9.92
9.92,0.06471428571428571,0.0,9.835
9.835,0.13271428571428573,0.0,9.82
9.82,0.18733333333333332,0.0,9.8
9.8,0.0,0.0,9.93
9.93,0.0,0.0,9.84
9.84,0.0932,0.0489,9.75
9.75,0.0,0.0,9.81
9.81,0.0,0.0,9.765
9.765,0.2285,0.0,9.535
9.53,0.12125,0.07833333333333334,9.535
9.535,0.15433333333333335,0.04133333333333333,9.545
9.545,0.09175,0.0,9.485
9.485,0.0,0.0,9.425
9.425,0.0,0.0,9.555
9.555,0.126,0.0,9.475
9.475,0.18675,0.052000000000000005,9.565
9.565,0.0475,0.17375,9.485
9.485,0.23199999999999998,0.0,9.435
9.435,0.405,0.0,9.39
9.39,0.1359,0.0232,9.34
9.34,0.0,0.0,9.335
9.335,0.13433333333333333,0.0,9.43
9.43,0.0,0.0,9.46
9.46,0.14921428571428572,0.05264285714285714,9.47
9.47,0.155,0.0,9.425
9.425,0.0,0.173,9.355
9.355,0.0,0.1804,9.285
9.285,0.10866666666666668,0.0,9.38
9.38,0.17883333333333332,0.0385,9.355
9.355,0.0,0.0,9.325
9.325,0.16,0.04,9.582
9.582,0.217,0.0,9.537
9.537,0.18866666666666665,0.077,9.385
9.385,0.07375,0.13474999999999998,9.465
9.465,0.0,0.15275,9.465
9.465,0.105,0.0,9.825
9.825,0.117,0.0518,9.55
9.55,0.16499999999999998,0.182,9.675
9.675,0.08025,0.05783333333333333,9.83
9.83,0.1185,0.1695,9.915
9.915,0.0,0.06925,9.855
9.855,0.0,0.344,9.77
9.77,0.09642857142857143,0.07314285714285715,9.78
9.85,0.09183333333333334,0.020166666666666663,9.78
9.78,0.0,0.0,9.805
9.805,0.1615,0.1235,9.755
9.755,0.0,0.105,9.865
9.865,0.146,0.045,9.845
9.845,0.08866666666666667,0.0,9.895
9.895,0.11742857142857142,0.0,10.07
10.07,0.0,0.0,10.07
10.07,0.0,0.0,10.175
10.175,0.19522222222222224,0.030333333333333337,10.18
10.18,0.29300000000000004,0.0325,10.23
10.23,0.0758,0.0661,10.265
10.265,0.06125,0.0,10.265
10.265,0.0782,0.0995,10.18
10.18,0.321,0.0,10.17
10.17,0.125,0.1435,10.1
10.1,0.0,0.0,10.05
10.05,0.14222222222222222,0.030222222222222227,10.05
9.85,0.0,0.0,9.77
9.77,0.0,0.0985,9.605
9.605,0.0985,0.087,9.295
9.145,0.12318181818181817,0.05436363636363637,9.135
9.135,0.16699999999999998,0.0,9.13
9.13,0.0,0.1015,9.355
9.355,0.04725,0.13474999999999998,9.287
9.287,0.0,0.34299999999999997,9.6
9.6,0.15133333333333332,0.0,9.65
9.65,0.0,0.0,9.617
9.617,0.2746666666666667,0.0,9.7
9.7,0.09022222222222223,0.0,9.9
9.9,0.13458333333333333,0.015583333333333331,10.055
10.415,0.07888888888888887,0.05188888888888889,10.44
10.44,0.0,0.0,10.63
10.63,0.0,0.0,10.625
10.625,0.0,0.3335,10.91
10.91,0.15599999999999994,0.02072727272727273,10.885
10.885,0.0,0.0,10.83
10.83,0.0,0.0,11.055
11.055,0.0,0.0,10.91
10.91,0.0,0.0,11.055
11.055,0.12433333333333335,0.07188888888888889,10.93
10.93,0.1394,0.0,10.975
10.975,0.0,0.172,11.185
11.185,0.057333333333333326,0.050166666666666665,11.13
11.05,0.0,0.0,11.12
11.12,0.0,0.11375,11.045
11.045,0.10775,0.1065,11.095
11.095,0.06475,0.0,11.23
11.23,0.13707692307692307,0.1260769230769231,11.23
11.23,0.0,0.15566666666666668,11.32
11.32,0.0,0.0988,11.3
11.3,0.1166,0.11440000000000003,11.255
11.255,0.054200000000000005,0.0518,11.03
11.03,0.07733333333333332,0.066,11.475
11.475,0.0,0.1295,11.4
11.4,0.0,0.0,11.52
11.52,0.135,0.07400000000000001,11.37
11.37,0.19399999999999998,0.256,11.175
11.175,0.06114285714285715,0.08992857142857143,11.105
11.105,0.0,0.0,11.255
11.255,0.0,0.0,11.18
11.18,0.0,0.0,11.29
11.29,0.1825,0.0,11.425
11.425,0.09136363636363637,0.0,11.59
11.59,0.0,0.0,11.505
11.505,0.2285,0.0,11.515
11.515,0.0,0.0715,11.61
11.61,0.2294,0.0109,11.645
11.645,0.0,0.0,11.72
11.72,0.0715,0.07325,11.998
11.998,0.034625,0.11475,12.015
12.015,0.0,0.0,11.575
11.575,0.08425,0.08266666666666668,11.5
11.5,0.2043333333333333,0.183,11.415
11.415,0.17700000000000002,0.03925,11.84
11.84,0.0,0.05775,11.865
11.865,0.32,0.0,11.865
11.865,0.181125,0.064,12.0
12.0,0.07433333333333332,0.0,11.985
11.985,0.06175,0.0,12.14
12.14,0.0,0.0,12.3
12.3,0.3065,0.053,12.275
12.275,0.123375,0.026000000000000002,12.315
12.315,0.08816666666666667,0.0,12.415
12.26,0.0,0.0,12.37
12.37,0.11214285714285714,0.07185714285714287,12.49
12.385,0.0,0.0,12.33
12.33,0.105,0.0,12.045
12.045,0.171,0.0,12.145
12.145,0.0,0.13716666666666666,12.31
12.31,0.061214285714285714,0.038142857142857145,12.25
12.25,0.05166666666666666,0.0,12.495
12.495,0.03125,0.1405,12.34
12.34,0.0,0.0,12.245
12.245,0.0,0.08633333333333333,12.185
12.185,0.23233333333333334,0.06866666666666668,12.12
12.12,0.1775,0.0,12.145
12.145,0.1122,0.0,12.185
12.185,0.0,0.0,12.205
12.205,0.5395,0.075,12.3
12.3,0.1206,0.1477,12.37
12.37,0.16,0.0,12.395
12.395,0.0,0.0,12.33
12.33,0.12866666666666668,0.0,12.285
12.285,0.0,0.10400000000000001,12.395
12.395,0.07257142857142858,0.11900000000000001,12.55
12.55,0.0,0.0,12.95
12.95,0.12233333333333335,0.0,12.78
12.78,0.0,0.04616666666666667,12.455
12.455,0.06271428571428571,0.07050000000000001,12.69
12.69,0.0665,0.16075,12.455
12.455,0.142,0.102,12.68
12.68,0.18275,0.0,12.695
12.695,0.153,0.109,12.64
12.64,0.0701764705882353,0.09905882352941177,12.82
12.82,0.0,0.0,12.805
12.805,0.0,0.1385,12.885
12.885,0.0,0.0,12.78
12.78,0.17018181818181818,0.07400000000000001,12.805
12.71,0.0,0.14800000000000002,12.365
12.365,0.13733333333333336,0.0,12.02
12.02,0.0,0.0,11.97
11.97,0.0,0.0,11.9
11.9,0.15666666666666665,0.04233333333333333,11.97
11.97,0.0,0.425,11.995
11.995,0.17225,0.0,12.02
12.02,0.05725,0.13324999999999998,12.015
12.015,0.1305,0.2145,12.03
12.03,0.0988,0.071,11.915
11.915,0.0,0.2015,11.885
11.885,0.0,0.1295,11.84
11.84,0.129,0.0,12.02
12.02,0.09699999999999999,0.14300000000000002,12.035
12.035,0.17509090909090907,0.06436363636363636,12.25
12.25,0.0,0.41200000000000003,12.185
12.185,0.04083333333333333,0.0325,12.12
12.12,0.0,0.0,12.13
12.13,0.223,0.0,11.945
11.945,0.0888,0.1794,11.93
