Tool,Text,Delay,Grain,Accuracy,Experiment
VADER,Content,1,Corn,0.583586626,1
VADER,Content,1,Soybean,0.533536585,1
VADER,Content,1,Wheat,0.503067485,1
VADER,Content,1,Rice,0.451298701,1
VADER,Content,1,Oat,0.523809524,1
VADER,Content,2,Corn,0.556231003,1
VADER,Content,2,Soybean,0.551829268,1
VADER,Content,2,Wheat,0.472392638,1
VADER,Content,2,Rice,0.454545455,1
VADER,Content,2,Oat,0.536585366,1
VADER,Content,3,Corn,0.557926829,1
VADER,Content,3,Soybean,0.524390244,1
VADER,Content,3,Wheat,0.486153846,1
VADER,Content,3,Rice,0.487012987,1
VADER,Content,3,Oat,0.512195122,1
VADER,Content,5,Corn,0.542682927,1
VADER,Content,5,Soybean,0.565749235,1
VADER,Content,5,Wheat,0.52,1
VADER,Content,5,Rice,0.456026059,1
VADER,Content,5,Oat,0.575,1
VADER,Content,7,Corn,0.568807339,1
VADER,Content,7,Soybean,0.573619632,1
VADER,Content,7,Wheat,0.530864198,1
VADER,Content,7,Rice,0.480392157,1
VADER,Content,7,Oat,0.525,1
VADER,Content,14,Corn,0.526153846,1
VADER,Content,14,Soybean,0.558641975,1
VADER,Content,14,Wheat,0.50310559,1
VADER,Content,14,Rice,0.470394737,1
VADER,Content,30,Oat,0.675675676,1
VADER,Content,30,Corn,0.536050157,1
VADER,Content,30,Soybean,0.545454545,1
VADER,Content,30,Wheat,0.477848101,1
VADER,Content,30,Rice,0.508361204,1
VADER,Content,30,Oat,0.5625,1
VADER,Headline,1,Corn,0.598784195,1
VADER,Headline,1,Soybean,0.649390244,1
VADER,Headline,1,Wheat,0.588957055,1
VADER,Headline,1,Rice,0.480519481,1
VADER,Headline,1,Oat,0.452380952,1
VADER,Headline,2,Corn,0.589665653,1
VADER,Headline,2,Soybean,0.634146341,1
VADER,Headline,2,Wheat,0.616564417,1
VADER,Headline,2,Rice,0.503246753,1
VADER,Headline,2,Oat,0.536585366,1
