Delay,Grain,Accuracy
1,Corn,0.583586626
1,Soybean,0.533536585
1,Wheat,0.503067485
1,Rice,0.451298701
1,Oat,0.523809524
1,Corn,0.598784195
1,Soybean,0.649390244
1,Wheat,0.588957055
1,Rice,0.480519481
1,Oat,0.452380952
1,Corn,0.568389058
1,Soybean,0.631097561
1,Wheat,0.570552147
1,Rice,0.467532468
1,Oat,0.428571429
1,Corn,0.653495441
1,Soybean,0.695121951
1,Wheat,0.622699387
1,Rice,0.467532468
1,Oat,0.428571429
1,Corn,0.598784195
1,Soybean,0.664634146
1,Wheat,0.585889571
1,Rice,0.451298701
1,Oat,0.523809524
1,Corn,0.650455927
1,Soybean,0.68902439
1,Wheat,0.613496933
1,Rice,0.467532468
1,Oat,0.476190476
1,Corn,0.513677812
1,Soybean,0.603658537
1,Wheat,0.561349693
1,Rice,0.503246753
1,Oat,0.475
1,Corn,0.559139785
1,Soybean,0.597826087
1,Wheat,0.52238806
1,Rice,0.52027027
1,Oat,0.5
1,Corn,0.594202899
1,Soybean,0.622093023
1,Wheat,0.530612245
1,Rice,0.432176656
1,Oat,0.582278481
1,Corn,0.581325301
1,Soybean,0.627272727
1,Wheat,0.571428571
1,Rice,0.477564103
1,Oat,0.476190476
1,Corn,0.533333333
1,Soybean,0.529069767
1,Wheat,0.551020408
1,Rice,0.476340694
1,Oat,0.441558442
1,Corn,0.554006969
1,Soybean,0.554770318
1,Wheat,0.567272727
1,Rice,0.473684211
1,Oat,0.5
2,Corn,0.556231003
2,Soybean,0.551829268
2,Wheat,0.472392638
2,Rice,0.454545455
2,Oat,0.536585366
2,Corn,0.589665653
2,Soybean,0.634146341
2,Wheat,0.616564417
2,Rice,0.503246753
2,Oat,0.536585366
2,Corn,0.571428571
2,Soybean,0.579268293
2,Wheat,0.521472393
2,Rice,0.496753247
2,Oat,0.487804878
2,Corn,0.601823708
2,Soybean,0.673780488
2,Wheat,0.610429448
2,Rice,0.496753247
2,Oat,0.487804878
2,Corn,0.577507599
2,Soybean,0.634146341
2,Wheat,0.552147239
2,Rice,0.477272727
2,Oat,0.609756098
2,Corn,0.623100304
2,Soybean,0.664634146
2,Wheat,0.601226994
2,Rice,0.5
2,Oat,0.463414634
2,Corn,0.571428571
2,Soybean,0.588414634
2,Wheat,0.549079755
2,Rice,0.467532468
2,Oat,0.475
2,Corn,0.573476703
2,Soybean,0.583333333
2,Wheat,0.558052434
2,Rice,0.52027027
2,Oat,0.5
2,Corn,0.60755814
2,Soybean,0.61627907
2,Wheat,0.530612245
2,Rice,0.482649842
2,Oat,0.58974359
2,Corn,0.602409639
2,Soybean,0.648484848
2,Wheat,0.591463415
2,Rice,0.501607717
2,Oat,0.463414634
2,Corn,0.561046512
2,Soybean,0.604651163
2,Wheat,0.533527697
2,Rice,0.463722397
2,Oat,0.38961039
2,Corn,0.599303136
2,Soybean,0.570921986
2,Wheat,0.576642336
2,Rice,0.473684211
2,Oat,0.5
3,Corn,0.557926829
3,Soybean,0.524390244
3,Wheat,0.486153846
3,Rice,0.487012987
3,Oat,0.512195122
3,Corn,0.585365854
3,Soybean,0.643292683
3,Wheat,0.541538462
3,Rice,0.506493506
3,Oat,0.512195122
3,Corn,0.603658537
3,Soybean,0.582317073
3,Wheat,0.538461538
3,Rice,0.49025974
3,Oat,0.585365854
3,Corn,0.631097561
3,Soybean,0.667682927
3,Wheat,0.572307692
3,Rice,0.49025974
3,Oat,0.512195122
3,Corn,0.576219512
3,Soybean,0.618902439
